2015-09-26 11:33:08.962820,bbc,14.009 ms
2015-09-26 11:33:08.976148,router,3.884 ms
2015-09-26 11:33:09.504409,bbc,13.709 ms
2015-09-26 11:33:09.518750,router,1.911 ms
2015-09-26 11:33:10.052470,bbc,15.568 ms
2015-09-26 11:33:10.065828,router,1.872 ms
2015-09-26 11:33:10.595644,bbc,15.112 ms
2015-09-26 11:33:10.610365,router,1.875 ms
2015-09-26 11:33:11.145125,bbc,16.086 ms
2015-09-26 11:33:11.157197,router,1.854 ms
2015-09-26 11:33:11.684244,bbc,13.339 ms
2015-09-26 11:33:11.699212,router,1.840 ms
2015-09-26 11:33:12.230104,bbc,15.174 ms
2015-09-26 11:33:12.242154,router,1.868 ms
2015-09-26 11:33:12.773910,bbc,16.371 ms
2015-09-26 11:33:12.788523,router,1.882 ms
2015-09-26 11:33:13.317707,bbc,15.217 ms
2015-09-26 11:33:13.333267,router,1.882 ms
2015-09-26 11:33:13.866859,bbc,15.670 ms
2015-09-26 11:33:13.881609,router,2.176 ms
2015-09-26 11:33:14.410823,bbc,15.005 ms
2015-09-26 11:33:14.425392,router,1.868 ms
2015-09-26 11:33:14.956373,bbc,13.408 ms
2015-09-26 11:33:14.970573,router,1.852 ms
2015-09-26 11:33:15.504234,bbc,15.550 ms
2015-09-26 11:33:15.518250,router,2.001 ms
2015-09-26 11:33:16.046245,bbc,13.347 ms
2015-09-26 11:33:16.060286,router,1.807 ms
2015-09-26 11:33:16.591602,bbc,15.133 ms
2015-09-26 11:33:16.602213,router,1.835 ms
2015-09-26 11:33:17.133082,bbc,13.530 ms
2015-09-26 11:33:17.145757,router,1.843 ms
2015-09-26 11:33:17.688931,bbc,26.157 ms
2015-09-26 11:33:17.703094,router,1.862 ms
2015-09-26 11:33:18.234826,bbc,15.327 ms
2015-09-26 11:33:18.253501,router,5.178 ms
2015-09-26 11:33:18.782648,bbc,15.299 ms
2015-09-26 11:33:18.796156,router,1.902 ms
2015-09-26 11:33:19.325789,bbc,15.525 ms
2015-09-26 11:33:19.340446,router,1.892 ms
2015-09-26 11:33:19.869251,bbc,15.522 ms
2015-09-26 11:33:19.883604,router,1.908 ms
2015-09-26 11:33:20.416352,bbc,15.465 ms
2015-09-26 11:33:20.431191,router,1.878 ms
2015-09-26 11:33:20.960511,bbc,15.156 ms
2015-09-26 11:33:20.970912,router,1.950 ms
2015-09-26 11:33:21.501036,bbc,15.068 ms
2015-09-26 11:33:21.515034,router,1.868 ms
2015-09-26 11:33:22.046124,bbc,16.250 ms
2015-09-26 11:33:22.057218,router,2.735 ms
2015-09-26 11:33:22.586067,bbc,14.456 ms
2015-09-26 11:33:22.600889,router,1.875 ms
2015-09-26 11:33:23.134065,bbc,14.893 ms
2015-09-26 11:33:23.146383,router,1.903 ms
2015-09-26 11:33:23.673825,bbc,13.403 ms
2015-09-26 11:33:23.687783,router,1.931 ms
2015-09-26 11:33:24.216475,bbc,14.256 ms
2015-09-26 11:33:24.230188,router,1.911 ms
2015-09-26 11:33:24.760020,bbc,15.587 ms
2015-09-26 11:33:24.770593,router,1.871 ms
2015-09-26 11:33:25.300995,bbc,15.518 ms
2015-09-26 11:33:25.311799,router,1.816 ms
2015-09-26 11:33:25.841634,bbc,15.089 ms
2015-09-26 11:33:25.852049,router,1.851 ms
2015-09-26 11:33:26.384189,bbc,15.133 ms
2015-09-26 11:33:26.394991,router,1.875 ms
2015-09-26 11:33:26.925093,bbc,15.834 ms
2015-09-26 11:33:26.935992,router,1.981 ms
2015-09-26 11:33:27.466476,bbc,15.471 ms
2015-09-26 11:33:27.480875,router,2.268 ms
2015-09-26 11:33:28.008508,bbc,16.337 ms
2015-09-26 11:33:28.019586,router,1.910 ms
2015-09-26 11:33:28.553939,bbc,15.677 ms
2015-09-26 11:33:28.568603,router,1.895 ms
2015-09-26 11:33:29.098379,bbc,14.926 ms
2015-09-26 11:33:29.109176,router,1.888 ms
2015-09-26 11:33:29.639526,bbc,15.872 ms
2015-09-26 11:33:29.653493,router,1.797 ms
2015-09-26 11:33:30.182752,bbc,15.103 ms
2015-09-26 11:33:30.197144,router,1.894 ms
2015-09-26 11:33:30.726563,bbc,14.810 ms
2015-09-26 11:33:30.740233,router,1.851 ms
