2015-09-26 11:43:10.819319,bbc,12.981 ms
2015-09-26 11:43:10.832409,router,1.238 ms
2015-09-26 11:43:11.361253,bbc,12.967 ms
2015-09-26 11:43:11.375271,router,1.221 ms
2015-09-26 11:43:12.422841,bbc,529.291 ms
2015-09-26 11:43:12.436443,router,1.376 ms
2015-09-26 11:43:12.965673,bbc,12.505 ms
2015-09-26 11:43:12.979457,router,1.246 ms
2015-09-26 11:43:13.511155,bbc,13.488 ms
2015-09-26 11:43:13.524782,router,1.267 ms
2015-09-26 11:43:14.052073,bbc,13.002 ms
2015-09-26 11:43:14.066910,router,1.289 ms
2015-09-26 11:43:14.598638,bbc,12.839 ms
2015-09-26 11:43:14.612204,router,1.278 ms
2015-09-26 11:43:15.137137,bbc,13.485 ms
2015-09-26 11:43:15.150735,router,1.253 ms
2015-09-26 11:43:15.681158,bbc,12.779 ms
2015-09-26 11:43:15.696475,router,1.436 ms
2015-09-26 11:43:16.228298,bbc,12.845 ms
2015-09-26 11:43:16.242370,router,1.221 ms
2015-09-26 11:43:16.772088,bbc,13.166 ms
2015-09-26 11:43:16.785549,router,1.318 ms
2015-09-26 11:43:17.313717,bbc,13.268 ms
2015-09-26 11:43:17.327723,router,1.260 ms
2015-09-26 11:43:17.856017,bbc,12.756 ms
2015-09-26 11:43:17.869757,router,1.320 ms
2015-09-26 11:43:18.401029,bbc,13.347 ms
2015-09-26 11:43:18.414403,router,1.270 ms
2015-09-26 11:43:18.945125,bbc,12.405 ms
2015-09-26 11:43:18.958458,router,1.295 ms
2015-09-26 11:43:19.487045,bbc,13.300 ms
2015-09-26 11:43:19.500557,router,1.260 ms
2015-09-26 11:43:20.031793,bbc,13.266 ms
2015-09-26 11:43:20.045047,router,1.364 ms
2015-09-26 11:43:20.572876,bbc,12.845 ms
2015-09-26 11:43:20.586034,router,1.121 ms
2015-09-26 11:43:21.377148,bbc,277.535 ms
2015-09-26 11:43:21.390171,router,1.291 ms
2015-09-26 11:43:21.919280,bbc,13.165 ms
2015-09-26 11:43:21.932448,router,1.273 ms
2015-09-26 11:43:22.461063,bbc,13.202 ms
2015-09-26 11:43:22.474497,router,1.228 ms
2015-09-26 11:43:23.002928,bbc,13.738 ms
2015-09-26 11:43:23.016504,router,1.270 ms
2015-09-26 11:43:23.545898,bbc,13.083 ms
2015-09-26 11:43:23.559199,router,1.339 ms
2015-09-26 11:43:24.087511,bbc,13.504 ms
2015-09-26 11:43:24.101574,router,1.387 ms
2015-09-26 11:43:24.626232,bbc,14.364 ms
2015-09-26 11:43:24.639995,router,1.160 ms
2015-09-26 11:43:25.169999,bbc,13.185 ms
2015-09-26 11:43:25.182957,router,1.251 ms
2015-09-26 11:43:25.714448,bbc,13.071 ms
2015-09-26 11:43:25.727357,router,1.258 ms
2015-09-26 11:43:26.256532,bbc,15.748 ms
2015-09-26 11:43:26.270685,router,1.061 ms
2015-09-26 11:43:26.797811,bbc,12.467 ms
2015-09-26 11:43:26.810249,router,1.052 ms
2015-09-26 11:43:27.335508,bbc,13.142 ms
2015-09-26 11:43:27.347652,router,1.098 ms
2015-09-26 11:43:27.878632,bbc,12.929 ms
2015-09-26 11:43:27.907662,router,1.054 ms
2015-09-26 11:43:28.437601,bbc,12.443 ms
2015-09-26 11:43:28.447868,router,1.293 ms
2015-09-26 11:43:29.041187,bbc,75.946 ms
2015-09-26 11:43:29.054746,router,1.240 ms
2015-09-26 11:43:29.591948,bbc,23.400 ms
2015-09-26 11:43:29.605027,router,1.121 ms
2015-09-26 11:43:30.135711,bbc,12.628 ms
2015-09-26 11:43:30.148967,router,1.266 ms
2015-09-26 11:43:30.680246,bbc,12.985 ms
2015-09-26 11:43:30.697715,router,4.536 ms
2015-09-26 11:43:31.225097,bbc,13.009 ms
2015-09-26 11:43:31.238596,router,1.255 ms
2015-09-26 11:43:31.766904,bbc,13.363 ms
2015-09-26 11:43:31.780124,router,1.245 ms
2015-09-26 11:43:32.307276,bbc,13.538 ms
2015-09-26 11:43:32.321001,router,1.265 ms
2015-09-26 11:43:32.851997,bbc,12.564 ms
2015-09-26 11:43:32.865810,router,1.275 ms
2015-09-26 11:43:33.392240,bbc,12.136 ms
2015-09-26 11:43:33.407251,router,1.366 ms
2015-09-26 11:43:33.938836,bbc,13.266 ms
2015-09-26 11:43:33.952784,router,1.332 ms
2015-09-26 11:43:34.482343,bbc,12.984 ms
2015-09-26 11:43:34.492180,router,1.261 ms
2015-09-26 11:43:35.022958,bbc,12.841 ms
2015-09-26 11:43:35.032653,router,1.398 ms
2015-09-26 11:43:35.560625,bbc,12.518 ms
2015-09-26 11:43:35.573017,router,1.334 ms
2015-09-26 11:43:36.100359,bbc,12.686 ms
2015-09-26 11:43:36.113922,router,1.333 ms
2015-09-26 11:43:36.640671,bbc,12.960 ms
2015-09-26 11:43:36.653848,router,1.256 ms
2015-09-26 11:43:37.185219,bbc,12.842 ms
2015-09-26 11:43:37.198796,router,1.258 ms
2015-09-26 11:43:37.730169,bbc,13.103 ms
2015-09-26 11:43:37.743354,router,1.255 ms
2015-09-26 11:43:38.272385,bbc,12.595 ms
2015-09-26 11:43:38.286598,router,1.334 ms
2015-09-26 11:43:38.816566,bbc,12.929 ms
2015-09-26 11:43:38.829984,router,1.372 ms
2015-09-26 11:43:39.356954,bbc,12.582 ms
2015-09-26 11:43:39.370721,router,1.257 ms
2015-09-26 11:43:39.900877,bbc,12.336 ms
2015-09-26 11:43:39.914424,router,1.321 ms
2015-09-26 11:43:40.446463,bbc,13.028 ms
2015-09-26 11:43:40.460595,router,1.298 ms
2015-09-26 11:43:40.992529,bbc,13.272 ms
2015-09-26 11:43:41.006171,router,1.255 ms
2015-09-26 11:43:41.535173,bbc,13.932 ms
2015-09-26 11:43:41.550042,router,1.580 ms
2015-09-26 11:43:42.081753,bbc,12.545 ms
2015-09-26 11:43:42.096308,router,2.048 ms
2015-09-26 11:43:42.622944,bbc,13.162 ms
2015-09-26 11:43:42.636429,router,1.251 ms
2015-09-26 11:43:43.165470,bbc,13.082 ms
2015-09-26 11:43:43.179112,router,1.263 ms
2015-09-26 11:43:43.707746,bbc,13.134 ms
2015-09-26 11:43:43.722558,router,1.267 ms
2015-09-26 11:43:44.253415,bbc,12.932 ms
2015-09-26 11:43:44.266480,router,1.352 ms
2015-09-26 11:43:44.791108,bbc,14.156 ms
2015-09-26 11:43:44.801113,router,1.596 ms
2015-09-26 11:43:45.350713,bbc,13.122 ms
2015-09-26 11:43:45.364718,router,1.363 ms
2015-09-26 11:43:45.895729,bbc,13.164 ms
2015-09-26 11:43:45.908930,router,1.251 ms
2015-09-26 11:43:46.447219,bbc,13.081 ms
2015-09-26 11:43:46.457032,router,1.253 ms
2015-09-26 11:43:46.986391,bbc,13.275 ms
2015-09-26 11:43:47.000983,router,1.467 ms
2015-09-26 11:43:47.530485,bbc,12.905 ms
2015-09-26 11:43:47.543976,router,1.256 ms
2015-09-26 11:43:48.073420,bbc,12.990 ms
2015-09-26 11:43:48.083182,router,1.272 ms
2015-09-26 11:43:48.612127,bbc,12.749 ms
2015-09-26 11:43:48.625881,router,1.593 ms
2015-09-26 11:43:49.156352,bbc,12.605 ms
2015-09-26 11:43:49.169890,router,1.260 ms
2015-09-26 11:43:49.701246,bbc,12.558 ms
2015-09-26 11:43:49.715159,router,1.415 ms
2015-09-26 11:43:50.245784,bbc,12.918 ms
