2015-09-26 11:46:12.716791,bbc,29.829 ms
2015-09-26 11:46:12.732983,router,1.981 ms
2015-09-26 11:46:13.290992,bbc,39.961 ms
2015-09-26 11:46:13.304403,router,1.971 ms
2015-09-26 11:46:13.848733,bbc,27.661 ms
2015-09-26 11:46:13.863912,router,2.272 ms
2015-09-26 11:46:14.396522,bbc,17.631 ms
2015-09-26 11:46:14.410798,router,1.947 ms
2015-09-26 11:46:14.943395,bbc,13.756 ms
2015-09-26 11:46:14.957693,router,3.221 ms
2015-09-26 11:46:15.488595,bbc,18.510 ms
2015-09-26 11:46:15.504022,router,2.326 ms
2015-09-26 11:46:16.036500,bbc,15.788 ms
2015-09-26 11:46:16.050178,router,1.968 ms
2015-09-26 11:46:16.583858,bbc,14.658 ms
2015-09-26 11:46:16.600448,router,3.492 ms
2015-09-26 11:46:17.128167,bbc,13.314 ms
2015-09-26 11:46:17.151071,router,1.866 ms
2015-09-26 11:46:18.266603,bbc,604.219 ms
2015-09-26 11:46:18.280496,router,2.443 ms
2015-09-26 11:46:18.808304,bbc,13.895 ms
2015-09-26 11:46:18.938776,router,117.250 ms
2015-09-26 11:46:19.472624,bbc,20.557 ms
2015-09-26 11:46:19.485552,router,1.872 ms
2015-09-26 11:46:20.045280,bbc,15.972 ms
2015-09-26 11:46:20.066601,router,7.575 ms
2015-09-26 11:46:20.631864,bbc,25.196 ms
2015-09-26 11:46:20.790012,router,145.820 ms
2015-09-26 11:46:21.368811,bbc,64.823 ms
2015-09-26 11:46:21.383572,router,1.942 ms
2015-09-26 11:46:21.913369,bbc,14.331 ms
2015-09-26 11:46:21.926588,router,1.891 ms
2015-09-26 11:46:22.457771,bbc,16.048 ms
2015-09-26 11:46:22.468486,router,1.955 ms
2015-09-26 11:46:22.996032,bbc,13.491 ms
2015-09-26 11:46:23.010752,router,2.053 ms
2015-09-26 11:46:24.137149,bbc,609.629 ms
2015-09-26 11:46:24.154015,router,4.479 ms
2015-09-26 11:46:24.688001,bbc,15.696 ms
2015-09-26 11:46:24.699008,router,2.083 ms
2015-09-26 11:46:25.227775,bbc,13.804 ms
2015-09-26 11:46:25.238389,router,1.914 ms
2015-09-26 11:46:25.770306,bbc,16.295 ms
2015-09-26 11:46:25.784890,router,2.403 ms
2015-09-26 11:46:26.316869,bbc,13.433 ms
2015-09-26 11:46:26.331508,router,2.100 ms
2015-09-26 11:46:26.863997,bbc,15.413 ms
2015-09-26 11:46:26.879005,router,2.799 ms
2015-09-26 11:46:27.405907,bbc,14.810 ms
2015-09-26 11:46:27.416838,router,2.119 ms
2015-09-26 11:46:27.949375,bbc,14.281 ms
2015-09-26 11:46:27.963789,router,2.428 ms
2015-09-26 11:46:28.492779,bbc,14.089 ms
2015-09-26 11:46:28.507205,router,1.943 ms
2015-09-26 11:46:29.037443,bbc,14.638 ms
2015-09-26 11:46:29.051607,router,1.950 ms
2015-09-26 11:46:29.695287,bbc,128.850 ms
2015-09-26 11:46:29.779095,router,74.641 ms
2015-09-26 11:46:30.395963,bbc,98.335 ms
2015-09-26 11:46:30.407879,router,2.202 ms
2015-09-26 11:46:30.933775,bbc,13.887 ms
2015-09-26 11:46:30.948940,router,2.004 ms
2015-09-26 11:46:31.831353,bbc,367.226 ms
2015-09-26 11:46:31.981094,router,140.498 ms
2015-09-26 11:46:32.515380,bbc,15.159 ms
2015-09-26 11:46:32.530121,router,2.531 ms
2015-09-26 11:46:33.059630,bbc,15.952 ms
2015-09-26 11:46:33.074818,router,1.940 ms
2015-09-26 11:46:33.608294,bbc,14.345 ms
2015-09-26 11:46:33.627058,router,6.216 ms
2015-09-26 11:46:34.158485,bbc,15.003 ms
2015-09-26 11:46:34.173244,router,2.672 ms
2015-09-26 11:46:34.706151,bbc,14.187 ms
2015-09-26 11:46:34.722885,router,4.465 ms
2015-09-26 11:46:35.254762,bbc,13.053 ms
2015-09-26 11:46:35.269310,router,2.086 ms
