2015-09-26 12:11:41.980709,bbc,14.454 ms
2015-09-26 12:11:41.995099,router,2.285 ms
2015-09-26 12:11:42.524681,bbc,16.366 ms
2015-09-26 12:11:42.539205,router,2.342 ms
2015-09-26 12:11:43.069689,bbc,14.034 ms
2015-09-26 12:11:43.083938,router,2.104 ms
2015-09-26 12:11:43.618191,bbc,16.120 ms
2015-09-26 12:11:43.632941,router,1.732 ms
2015-09-26 12:11:44.166013,bbc,16.293 ms
2015-09-26 12:11:44.181495,router,3.546 ms
2015-09-26 12:11:44.713058,bbc,17.244 ms
2015-09-26 12:11:44.727766,router,2.449 ms
2015-09-26 12:11:45.262288,bbc,16.579 ms
2015-09-26 12:11:45.285630,router,10.600 ms
2015-09-26 12:11:45.817590,bbc,16.329 ms
2015-09-26 12:11:45.832535,router,2.449 ms
2015-09-26 12:11:46.372557,bbc,21.575 ms
2015-09-26 12:11:46.386462,router,2.554 ms
2015-09-26 12:11:46.919667,bbc,16.564 ms
2015-09-26 12:11:46.934319,router,1.782 ms
2015-09-26 12:11:47.471599,bbc,20.383 ms
2015-09-26 12:11:47.487979,router,2.304 ms
2015-09-26 12:11:48.042961,bbc,15.742 ms
2015-09-26 12:11:48.057091,router,1.952 ms
2015-09-26 12:11:48.588841,bbc,14.382 ms
2015-09-26 12:11:48.602957,router,1.597 ms
2015-09-26 12:11:49.136645,bbc,15.372 ms
2015-09-26 12:11:49.150891,router,2.448 ms
2015-09-26 12:11:49.685669,bbc,16.011 ms
2015-09-26 12:11:49.700019,router,1.807 ms
2015-09-26 12:11:50.230488,bbc,17.016 ms
2015-09-26 12:11:50.244765,router,2.147 ms
2015-09-26 12:11:50.779032,bbc,16.214 ms
2015-09-26 12:11:50.792789,router,2.324 ms
2015-09-26 12:11:51.326462,bbc,15.138 ms
2015-09-26 12:11:51.341428,router,2.391 ms
2015-09-26 12:11:51.874235,bbc,15.577 ms
2015-09-26 12:11:51.888635,router,2.833 ms
2015-09-26 12:11:52.421606,bbc,15.291 ms
2015-09-26 12:11:52.448505,router,2.444 ms
2015-09-26 12:11:52.978863,bbc,16.911 ms
2015-09-26 12:11:52.993339,router,2.192 ms
2015-09-26 12:11:53.528316,bbc,18.458 ms
