2015-09-26 12:04:51.397750,bbc,195.888 ms
2015-09-26 12:04:51.412087,router,1.927 ms
2015-09-26 12:04:51.944879,bbc,16.581 ms
2015-09-26 12:04:51.959958,router,2.176 ms
2015-09-26 12:04:52.490718,bbc,15.610 ms
2015-09-26 12:04:52.500741,router,1.666 ms
2015-09-26 12:04:53.032198,bbc,16.563 ms
2015-09-26 12:04:53.046703,router,2.238 ms
2015-09-26 12:04:53.582959,bbc,17.162 ms
2015-09-26 12:04:53.602600,router,6.997 ms
2015-09-26 12:04:54.132044,bbc,15.807 ms
2015-09-26 12:04:54.146608,router,1.927 ms
2015-09-26 12:04:54.678383,bbc,15.709 ms
2015-09-26 12:04:54.692312,router,1.342 ms
2015-09-26 12:04:55.220921,bbc,15.578 ms
2015-09-26 12:04:55.235322,router,1.510 ms
2015-09-26 12:04:55.770298,bbc,16.891 ms
2015-09-26 12:04:55.784189,router,1.427 ms
2015-09-26 12:04:56.318940,bbc,16.166 ms
2015-09-26 12:04:56.332060,router,1.465 ms
2015-09-26 12:04:56.866212,bbc,19.100 ms
2015-09-26 12:04:56.880974,router,2.301 ms
2015-09-26 12:04:57.558153,bbc,159.061 ms
2015-09-26 12:04:57.571867,router,1.725 ms
2015-09-26 12:04:58.101380,bbc,16.216 ms
2015-09-26 12:04:58.115766,router,1.860 ms
2015-09-26 12:04:58.651075,bbc,17.098 ms
2015-09-26 12:04:58.666562,router,2.231 ms
2015-09-26 12:04:59.200793,bbc,16.616 ms
2015-09-26 12:04:59.215489,router,2.130 ms
2015-09-26 12:04:59.753842,bbc,19.747 ms
2015-09-26 12:04:59.768339,router,1.688 ms
2015-09-26 12:05:00.304132,bbc,16.697 ms
2015-09-26 12:05:00.318180,router,1.582 ms
2015-09-26 12:05:00.851238,bbc,15.146 ms
2015-09-26 12:05:00.865280,router,1.796 ms
2015-09-26 12:05:01.399170,bbc,17.617 ms
2015-09-26 12:05:01.415234,router,3.382 ms
2015-09-26 12:05:01.949041,bbc,17.223 ms
2015-09-26 12:05:01.964141,router,2.082 ms
2015-09-26 12:05:02.494638,bbc,15.626 ms
2015-09-26 12:05:02.508993,router,2.354 ms
2015-09-26 12:05:03.042183,bbc,15.375 ms
2015-09-26 12:05:03.056879,router,2.346 ms
2015-09-26 12:05:03.587939,bbc,16.265 ms
2015-09-26 12:05:03.608642,router,8.397 ms
2015-09-26 12:05:04.142676,bbc,21.479 ms
2015-09-26 12:05:04.155557,router,2.146 ms
2015-09-26 12:05:04.686290,bbc,15.819 ms
2015-09-26 12:05:04.700531,router,1.451 ms
2015-09-26 12:05:05.233792,bbc,15.515 ms
2015-09-26 12:05:05.248476,router,2.044 ms
2015-09-26 12:05:05.780256,bbc,16.150 ms
2015-09-26 12:05:05.794326,router,1.851 ms
2015-09-26 12:05:06.327340,bbc,14.485 ms
2015-09-26 12:05:06.341217,router,1.827 ms
2015-09-26 12:05:06.876052,bbc,17.122 ms
2015-09-26 12:05:06.890176,router,1.717 ms
2015-09-26 12:05:07.422240,bbc,16.810 ms
2015-09-26 12:05:07.436825,router,1.800 ms
2015-09-26 12:05:08.075326,bbc,122.158 ms
2015-09-26 12:05:08.088801,router,1.816 ms
2015-09-26 12:05:08.792247,bbc,187.984 ms
2015-09-26 12:05:08.806554,router,2.101 ms
2015-09-26 12:05:09.668682,bbc,345.622 ms
2015-09-26 12:05:09.683264,router,2.205 ms
2015-09-26 12:05:10.437439,bbc,240.698 ms
2015-09-26 12:05:10.452013,router,1.672 ms
2015-09-26 12:05:11.032238,bbc,66.887 ms
2015-09-26 12:05:11.046819,router,2.066 ms
2015-09-26 12:05:11.648020,bbc,85.659 ms
2015-09-26 12:05:11.662508,router,1.364 ms
2015-09-26 12:05:12.245324,bbc,64.465 ms
2015-09-26 12:05:12.259536,router,1.822 ms
2015-09-26 12:05:12.794571,bbc,16.790 ms
2015-09-26 12:05:12.809377,router,2.426 ms
